trial,state,value,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma
0,COMPLETE,0.9182472281958152,0.00431241183841273,3,5,0.8415420671945192,0.5224197087308153,0.5911949087337096,0.017164616075148624,1.3414085064283123
1,COMPLETE,0.9187713278291705,0.019711579507037783,4,14,0.6080503180879941,0.735310850777775,0.006720178458990153,2.3921498873134373,1.6620977453398185
2,COMPLETE,0.9187771519117804,0.0030616567588084933,7,14,0.8024582410383301,0.4559202993922372,0.209180214140513,0.007866069935618813,1.1324772428656302
3,COMPLETE,0.9184035122989572,0.09763075802697715,6,3,0.9099457558495836,0.24226747311093744,0.2855483707724401,0.004400055728234426,1.4733379588718085
4,COMPLETE,0.9185153137212928,0.0032803519394383773,4,18,0.7155534364049865,0.3920245370871127,0.0037073087865775443,0.0016378144044493404,0.8932862378043349
5,COMPLETE,0.918635753501519,0.025653919024928386,7,19,0.8909150748955034,0.5548467320771466,0.09138455982404675,0.011562443172064302,0.03655495444219148
6,PRUNED,0.9191608161697284,0.0031723045578498157,4,8,0.5442592006145226,0.7818715546039199,1.9794999368958919,0.004978592743683785,1.291108213759569
7,PRUNED,0.9189561185552781,0.05110247056216979,7,10,0.6594054343686266,0.7901673250821384,0.05115079439796323,3.391241728650936,0.5978509250502757
8,COMPLETE,0.9188719097114962,0.006863999833028899,6,19,0.7315569819047638,0.331962804380201,1.812434040339316,2.7612943455338437,0.6593982392344824
9,COMPLETE,0.9187733773851983,0.02579992740223895,6,9,0.7667029837682318,0.33148800431159287,7.734278280882093,2.211242793346474,1.0679932154849456
10,COMPLETE,0.9187321165518303,0.008392401034367393,8,15,0.9667605783012045,0.2766239456945675,9.840177194908552,0.262649857157017,0.3020160132729186
11,PRUNED,0.9192469308996982,0.007556649733552729,8,15,0.7882120590634272,0.46738782793538625,1.0039327425627405,0.10146163556329836,1.9682311690274878
12,PRUNED,0.9200163444291762,0.007579913342002384,5,20,0.6939765423512163,0.621489712899626,0.023730631625316297,0.3955630861208698,0.7156102712630883
13,PRUNED,0.920003208828098,0.010724722618567184,7,14,0.805004376502364,0.42348215940776374,0.2385502350410692,0.03594606822366214,0.5034413850817901
14,COMPLETE,0.9188489033758944,0.005196779611254523,6,17,0.612218172599479,0.34520268902630696,2.304237908691449,0.6376502286409124,1.0848414307370866
15,COMPLETE,0.918866486505297,0.005492754637990422,5,17,0.5072645879616994,0.20355836453735138,1.8809103429873228,9.560102913032269,0.8436061338089406
16,COMPLETE,0.9188436205369036,0.011748795902293814,5,17,0.5232020285599315,0.20495971843358757,3.2449791970471704,7.427869493742581,0.288219868343912
17,COMPLETE,0.918886187844455,0.004985830796171227,5,12,0.5783830279443362,0.2907412022563303,0.8242468596831882,8.08836236465268,0.7556065021615221
18,COMPLETE,0.9188246902150587,0.01342351723276893,5,12,0.5980785283944459,0.3054976932878491,0.001008351031672255,0.9682355650778174,0.3848800829576532
19,PRUNED,0.9191485005578951,0.005829129240266936,3,7,0.6769341319847925,0.3807837400328665,0.7024691869597712,0.13829132991939036,0.03895348929891507
20,PRUNED,0.9192798578182062,0.03476404258272794,6,1,0.7286552845164309,0.5991096172952711,5.426801295942954,1.2500088228803188,0.8326976612873875
21,COMPLETE,0.9188676715957299,0.0047081264001536454,5,12,0.5047886130276262,0.21644194026602215,1.3828183042159574,7.490540043511536,0.7617472287319429
22,PRUNED,0.9192913112946014,0.004349070823925594,4,12,0.5604136496222197,0.26505835108658027,0.818804891559179,5.042131617939782,0.6594244733008433
