trial,state,value,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
0,COMPLETE,0.9184285114999278,75,8,29,0.8104308020547265,0.7889096530332698,0.008556132971909415,0.00125470455962309,1.9652856378321484
1,COMPLETE,0.9186808626526608,104,3,45,0.7595745475122175,0.712444296959291,0.0013216832510038045,0.057944152103087176,0.37546457897021424
2,COMPLETE,0.9187416903421196,106,3,11,0.8788706775761607,0.6441357113237763,1.884566356643584,0.631873500953343,0.7364671104223723
3,COMPLETE,0.9186608644768286,42,4,7,0.6496999619106458,0.5426507633433896,1.453349569170555,0.0050750799591239345,1.8212372244463364
4,COMPLETE,0.9185409040552858,84,5,37,0.9668968102402291,0.4341621724859209,0.024205488030610237,0.002165982951348162,0.42163786197647757
5,COMPLETE,0.9186740436063728,29,4,13,0.8235423540558868,0.7783276557007811,0.04609308213033441,3.852176444035368,0.022353971243114668
6,PRUNED,0.9190490043659025,91,5,12,0.7721203446226359,0.7969082289089132,0.006842707950326934,0.18432591646565968,1.9327096228154268
7,PRUNED,0.9197807194616652,18,4,47,0.6375991569905916,0.4806507954008901,0.6720332292898119,0.005616691174974588,1.8589532861527072
8,PRUNED,0.9191935692002464,28,6,42,0.5227952125424729,0.3213074206828581,7.988074743658171,0.10256470151264802,1.4909740770430013
9,PRUNED,0.9189854084350181,71,3,17,0.9943244273384486,0.6658919274551431,0.0026546002922688042,7.96822142971088,1.2393647128016712
10,PRUNED,0.918877123493556,122,7,21,0.8974375950456888,0.6224720213100589,0.42313606029115963,1.189099971942932,0.8147146475122587
11,PRUNED,0.9191925709168018,119,3,28,0.6941020104277333,0.6731413998756407,0.001161057193165845,0.36853356831073025,0.6758012063197822
12,PRUNED,0.919845170747191,103,3,36,0.8837554709145018,0.6941174046504545,0.15273701068434037,0.025910644159543417,0.17934252665053174
13,COMPLETE,0.9187851572659097,105,3,5,0.8696709609865835,0.541354518241195,9.638711507208415,0.02965647844954166,0.455247312111834
14,COMPLETE,0.9187009107584765,60,6,6,0.9096459123155132,0.5671975873700429,9.64769171624079,1.072308851435409,0.949752988407969
15,COMPLETE,0.9187563020693754,107,4,5,0.8448477776927327,0.5617183083918202,2.5961344998450198,0.017361488001010724,0.603512411122516
16,COMPLETE,0.9187333902939554,92,4,21,0.8174071652707314,0.44378673855332856,3.225414623906401,0.025454681483162017,0.4870506709756163
17,PRUNED,0.9191371049088946,113,5,6,0.9363900456437105,0.5325615459475771,0.19247392657980994,0.013433425617999177,1.1900583237011946
18,COMPLETE,0.9187881290089309,57,4,18,0.7135410552459618,0.38375560400890063,3.9529230684922614,0.009361615704440437,0.5675967895488656
19,PRUNED,0.9192549680959404,55,5,22,0.6902727706061641,0.3136405355911017,0.5910265086444929,0.0053360128120754045,0.22786347976139837
